amfi_code,CAGR,Sharpe,Alpha,Beta,Max_Drawdown,expense_ratio_pct,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,FundScore
120505,0.3280159948038617,1.1801011976606492,0.29508521272984833,-0.017453793025029054,-0.18188513572116294,1.36,40.0,36.0,38.0,26.0,25.0,35.0
119598,0.3239808398464554,0.9453082575156095,0.303144867465332,-0.00350800937275235,-0.2870600572176455,1.43,39.0,27.0,40.0,20.0,36.0,33.05
149324,0.3226210752841656,0.9497958246616031,0.2958210599599487,0.036666926671327996,-0.31171900300634214,1.52,38.0,28.0,39.0,14.5,37.0,32.075
120843,0.30883325525154603,1.3067439695428409,0.27321125754709386,-0.004369886433639482,-0.1297396816518679,1.45,35.0,39.0,36.0,19.0,13.0,31.6
148567,0.30949920362874206,1.4482911703262598,0.2691067256955176,0.010472156175636859,-0.11265729075028275,1.46,36.0,40.0,35.0,18.0,8.0,31.299999999999997
100033,0.30099703552874524,1.093698743534631,0.26875229141391044,0.024096595259743326,-0.16217208574644848,1.38,34.0,34.0,34.0,24.0,20.0,31.1
148569,0.31924485848158723,1.2349300257743294,0.2808029988427154,0.01764127461601424,-0.1639674294693263,1.6,37.0,38.0,37.0,4.5,21.0,30.775000000000002
119094,0.28192608222062465,0.9982309868636413,0.2627316899588547,-0.028728622961125546,-0.20960883862039192,1.38,32.0,30.0,32.0,24.0,28.0,29.900000000000002
119551,0.2578492084946409,1.2082665673727175,0.23454374664870617,-0.02518949864297465,-0.1501238549864533,1.54,31.0,37.0,31.0,10.5,17.0,28.024999999999995
149323,0.29558105232568344,1.1321218524747243,0.26573261554511396,0.0012594990971761919,-0.17248105753451382,1.61,33.0,35.0,33.0,3.0,22.0,27.9
118632,0.2403119561352478,1.0816591793457042,0.2157852505239689,0.016156595158068256,-0.17414075086657232,1.51,30.0,33.0,29.0,16.5,23.0,27.825000000000003
120504,0.2327744753273051,1.0265242847993001,0.21609064980413414,-0.026139233988137535,-0.12588275606922517,0.8,28.0,31.0,30.0,29.0,12.0,27.7
119552,0.21508021785499332,0.9532794968660104,0.20047597382446736,-0.018618719456253627,-0.11803493502764295,0.66,26.0,29.0,26.0,37.0,11.0,26.900000000000002
125497,0.19003613208378556,0.7757902498211205,0.1776220377104348,0.008449617960571615,-0.15200013055606398,0.92,25.0,23.0,25.0,27.0,18.0,24.1
148568,0.22499840384352243,0.9262873467360144,0.20841945067406478,-0.0035965236798082647,-0.1527259422823477,1.52,27.0,26.0,27.0,14.5,19.0,24.075
101206,0.23520488754230384,1.0272133278753695,0.21465600456186984,-6.730818908691622e-05,-0.11291596329323073,1.6,29.0,32.0,28.0,4.5,9.0,23.875
118633,0.16262218000296524,0.6452074382933215,0.15755299358545502,-0.016086486639146493,-0.18629743138595511,0.72,19.0,20.0,19.0,35.5,26.0,22.425
120503,0.18771330105513617,0.7979728586052847,0.1755417235928387,0.0018104631368765216,-0.13897862823061635,1.42,24.0,24.0,23.0,21.0,14.0,22.349999999999998
120506,0.17072227512921923,0.6488787755249532,0.1600230125795732,0.027298914610087564,-0.1982565826298267,1.41,22.0,21.0,20.0,22.0,27.0,21.849999999999998
118635,0.15945481185082522,0.664856998549062,0.15065271641931977,0.00478393469177386,-0.1165062450540909,0.89,18.0,22.0,18.0,28.0,10.0,19.7
118634,0.16361396476593382,0.44843400890899127,0.17568123177332165,0.018012351442899706,-0.2334488614483311,1.53,20.0,15.0,24.0,12.5,32.0,19.625
102885,0.18218826089343754,0.8170993373494367,0.17094095164685527,-0.0075551882236307285,-0.1085986215250232,1.57,23.0,25.0,22.0,7.0,7.0,19.299999999999997
125498,0.11293660210400969,0.30061192104254786,0.11764356212760835,0.01812498906781677,-0.21117279560132118,0.78,15.0,14.0,15.0,31.0,29.0,18.549999999999997
102887,0.16828673461948984,0.6195175900829828,0.1610625156811786,0.011217405044515629,-0.21539827112383225,1.64,21.0,19.0,21.0,1.5,30.0,18.475
119093,0.07891944369437343,0.12961449795669328,0.08091817265695568,0.015830155014591223,-0.21751396370148224,0.75,13.0,12.0,13.0,33.0,31.0,17.55
101207,0.07933120999915699,0.16266076928646772,0.11024955018619279,-0.023588228858983006,-0.3544691649336603,1.53,14.0,13.0,14.0,12.5,38.0,15.925
120841,0.13522349085511554,0.4942725378672349,0.13270798966179026,-0.008324367260956684,-0.1757361416468729,1.59,17.0,17.0,16.0,6.0,24.0,15.850000000000001
120507,0.0723241093234459,0.4957233929533123,0.06751273831066396,-0.00046135564097556987,-0.0009773140045925555,0.74,12.0,18.0,11.0,34.0,1.0,15.5
149322,0.13383520958789363,0.46403744922047774,0.13307516786532644,-0.010532478260407634,-0.14844576917771746,1.54,16.0,16.0,17.0,10.5,16.0,15.375
